Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
16,Home and Kitchen,"""https://www.amazon.in/gp/bestsellers/kitchen""",20,Water Purifiers and Accessories,"""https://www.amazon.in/gp/bestsellers/kitchen/1380259031""",1,HUL Pureit Germkill kit for Classic 14 L water purifier - 1250 L Capacity,"""https://images-eu.ssl-images-amazon.com/images/I/61MZ5sEJ+HL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"15,082",Rs 580.00
16,Home and Kitchen,"""https://www.amazon.in/gp/bestsellers/kitchen""",20,Water Purifiers and Accessories,"""https://www.amazon.in/gp/bestsellers/kitchen/1380259031""",2,KENT 16020 Instant Egg Boiler | 3 Boiling Modes | Upto 7 Egg at a Time | Automatic Operation | Easy and Quick Operation | Overheat Protection,"""https://images-eu.ssl-images-amazon.com/images/I/71YhvOR+1cL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"25,380","Rs 1,149.00"
16,Home and Kitchen,"""https://www.amazon.in/gp/bestsellers/kitchen""",20,Water Purifiers and Accessories,"""https://www.amazon.in/gp/bestsellers/kitchen/1380259031""",3,"Sure From Aquaguard Delight NXT RO+UV+Taste Adjuster(MTDS) 7L storage Water Purifier,7 stages purification,suitable for borewell,tanker,municipal water(Black) from Eureka Forbes","""https://images-eu.ssl-images-amazon.com/images/I/41s8QuuF6GL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"15,801","Rs 8,767.21"
16,Home and Kitchen,"""https://www.amazon.in/gp/bestsellers/kitchen""",20,Water Purifiers and Accessories,"""https://www.amazon.in/gp/bestsellers/kitchen/1380259031""",4,HUL Pureit Germkill kit for Classic 23 L water purifier - 3000 L Capacity,"""https://images-eu.ssl-images-amazon.com/images/I/61QNGI22XDL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"13,153","Rs 1,130.00"
16,Home and Kitchen,"""https://www.amazon.in/gp/bestsellers/kitchen""",20,Water Purifiers and Accessories,"""https://www.amazon.in/gp/bestsellers/kitchen/1380259031""",5,HUL Pureit Germkill kit for Classic 23 L water purifier - 1500 L Capacity,"""https://images-eu.ssl-images-amazon.com/images/I/61h7YWM2+oL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"10,834",Rs 590.00
16,Home and Kitchen,"""https://www.amazon.in/gp/bestsellers/kitchen""",20,Water Purifiers and Accessories,"""https://www.amazon.in/gp/bestsellers/kitchen/1380259031""",6,IONIX Activated Carbon Faucet Water Filters Universal Interface Home Kitchen Faucet Tap Water | Tap filter Multilayer | Clean Purifier Filter Cartridge Five Layer Water Filter-Pack of 1,"""https://images-eu.ssl-images-amazon.com/images/I/51v7kcjUYQL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"2,560",Rs 165.00
16,Home and Kitchen,"""https://www.amazon.in/gp/bestsellers/kitchen""",20,Water Purifiers and Accessories,"""https://www.amazon.in/gp/bestsellers/kitchen/1380259031""",7,"Aquasure From Aquaguard Amaze RO+UV+MTDS,7L storage water purifier,suitable for borewell,tanker,municipal water (Grey) from Eureka Forbes","""https://images-eu.ssl-images-amazon.com/images/I/51XK4ldf9sL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"18,242","Rs 8,999.00"
16,Home and Kitchen,"""https://www.amazon.in/gp/bestsellers/kitchen""",20,Water Purifiers and Accessories,"""https://www.amazon.in/gp/bestsellers/kitchen/1380259031""",8,"Tata Swach Bulb 6000-Litre Cartridge, 1 Piece, White, Hollow Fiber Membrane","""https://images-eu.ssl-images-amazon.com/images/I/51U1lbldo-L._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"3,102",Rs 698.00
16,Home and Kitchen,"""https://www.amazon.in/gp/bestsellers/kitchen""",20,Water Purifiers and Accessories,"""https://www.amazon.in/gp/bestsellers/kitchen/1380259031""",9,"Konvio NEER Set of Two High density 10-Inch 5 micron PP Spun Filter for pre filter of all type RO Water Purifiers(2, SPUN)","""https://images-eu.ssl-images-amazon.com/images/I/51q-0tYvcdL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"7,385",Rs 299.00
16,Home and Kitchen,"""https://www.amazon.in/gp/bestsellers/kitchen""",20,Water Purifiers and Accessories,"""https://www.amazon.in/gp/bestsellers/kitchen/1380259031""",10,WaterScience SFC-UW 100-HC Hard Water Replacement Cartridge/Filter for Cleo Range of Shower and Tap Filters - High Hardness Cartridge for Borewell/Tanker Water,"""https://images-eu.ssl-images-amazon.com/images/I/51aWc26qMxL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"3,011",Rs 845.00
